num,fips,date_range_start,weighted_average
5,06007,2020-01-18,12300.109850965646
6,06007,2020-01-25,11539.621700561662
7,06007,2020-02-01,11028.176572517641
8,06007,2020-02-08,11728.730679344984
9,06007,2020-02-15,12646.516864942814
10,06007,2020-02-22,11792.895160145574
11,06007,2020-02-29,11479.59272033947
12,06007,2020-03-07,11696.146569349366
13,06007,2020-03-14,12702.865033236469
14,06007,2020-03-21,10720.93518492914
15,06007,2020-03-28,9708.756135371294
16,06007,2020-04-04,8939.370016291845
17,06007,2020-04-11,9612.230352353643
18,06007,2020-04-18,10054.851415471832
19,06007,2020-04-25,10450.837212511824
20,06007,2020-05-02,8728.67154679919
21,06007,2020-05-09,9546.104358658833
22,06007,2020-05-16,9656.186542987478
23,06007,2020-05-23,10954.98036627389
24,06007,2020-05-30,10888.508106035657
25,06007,2020-06-06,11375.577499549308
26,06007,2020-06-13,11417.2184466662
27,06007,2020-06-20,11783.572899803212
28,06007,2020-06-27,11962.071829767547
29,06007,2020-07-04,11977.06040058482
30,06007,2020-07-11,11170.927317220812
31,06007,2020-07-18,11097.879135783733
32,06007,2020-07-25,11188.206669134983
33,06007,2020-08-01,11157.14596334288
34,06007,2020-08-08,11241.642682110612
35,06007,2020-08-15,10868.859738761887
36,06007,2020-08-22,10542.887071156016
37,06007,2020-08-29,10761.633850002625
38,06007,2020-09-05,11182.079574505007
39,06007,2020-09-12,10471.040473582012
40,06007,2020-09-19,10701.916679889197
41,06007,2020-09-26,11110.261684226498
42,06007,2020-10-03,10321.770247919678
43,06007,2020-10-10,10563.415609308313
44,06007,2020-10-17,10644.558141272368
45,06007,2020-10-24,10262.514038126594
46,06007,2020-10-31,10333.346242504233
47,06007,2020-11-08,9875.315296885314
1,06009,2019-12-21,15122.108756711928
2,06009,2019-12-28,14809.251773106556
3,06009,2020-01-04,16297.788099117917
4,06009,2020-01-11,16057.74653233171
5,06009,2020-01-18,16174.226040242982
6,06009,2020-01-25,16372.617096686805
7,06009,2020-02-01,15923.19916063642
8,06009,2020-02-08,16034.486996119194
9,06009,2020-02-15,16073.640039374106
10,06009,2020-02-22,16267.36049110278
11,06009,2020-02-29,16757.851215153238
12,06009,2020-03-07,17025.5192382623
13,06009,2020-03-14,13855.524010067778
14,06009,2020-03-21,12410.905221521936
15,06009,2020-03-28,11617.9684887305
16,06009,2020-04-04,10157.867695301407
17,06009,2020-04-11,11395.410584146008
18,06009,2020-04-18,12202.41781823718
19,06009,2020-04-25,12398.574462656448
20,06009,2020-05-02,11913.781124501382
21,06009,2020-05-09,12623.314417830985
22,06009,2020-05-16,12893.308076062263
23,06009,2020-05-23,13513.794416288925
24,06009,2020-05-30,14507.183486300559
25,06009,2020-06-06,14577.442206734118
26,06009,2020-06-13,14409.10257440184
27,06009,2020-06-20,14890.2080584623
28,06009,2020-06-27,14964.619726724091
29,06009,2020-07-04,14595.39765482329
30,06009,2020-07-11,14735.276022121745
31,06009,2020-07-18,14589.727460217724
32,06009,2020-07-25,14974.823437880415
33,06009,2020-08-01,15237.33910621798
34,06009,2020-08-08,15192.315986422322
35,06009,2020-08-15,15018.078599867145
36,06009,2020-08-22,15172.024088497737
37,06009,2020-08-29,15484.385052642889
38,06009,2020-09-05,14335.882007076978
39,06009,2020-09-12,14149.666087313859
40,06009,2020-09-19,15014.2950379339
41,06009,2020-09-26,15381.834402251294
42,06009,2020-10-03,14319.664718747916
43,06009,2020-10-10,14357.626137973517
44,06009,2020-10-17,15061.594605448165
45,06009,2020-10-24,15081.408427189295
46,06009,2020-10-31,14319.0528748656
47,06009,2020-11-08,14726.607561060975
1,06011,2019-12-21,14358.319720797503
2,06011,2019-12-28,14974.036942851382
3,06011,2020-01-04,14932.410853323132
4,06011,2020-01-11,14071.36159325093
5,06011,2020-01-18,16278.228142777787
6,06011,2020-01-25,15379.999798333663
7,06011,2020-02-01,14344.429116973966
8,06011,2020-02-08,14408.95731100009
9,06011,2020-02-15,15778.297462796998
10,06011,2020-02-22,14448.249402741485
11,06011,2020-02-29,15807.554280631452
12,06011,2020-03-07,15232.543794996145
13,06011,2020-03-14,12599.861831525262
14,06011,2020-03-21,11099.411320498617
15,06011,2020-03-28,10794.59696727702
16,06011,2020-04-04,10606.014919171696
17,06011,2020-04-11,11103.121798350503
18,06011,2020-04-18,13130.054798534728
19,06011,2020-04-25,12833.118963431953
20,06011,2020-05-02,12004.03306804866
21,06011,2020-05-09,12701.316227628857
22,06011,2020-05-16,13343.651005390939
23,06011,2020-05-23,13185.588984339056
24,06011,2020-05-30,14173.086622161642
25,06011,2020-06-06,13998.477837952316
26,06011,2020-06-13,14349.719277114249
27,06011,2020-06-20,14990.158902312465
28,06011,2020-06-27,14569.153173830075
29,06011,2020-07-04,14574.305610884261
30,06011,2020-07-11,13952.361033160874
31,06011,2020-07-18,14563.719881243112
32,06011,2020-07-25,14605.037588280366
33,06011,2020-08-01,13488.704868548764
34,06011,2020-08-08,14290.989796696489
35,06011,2020-08-15,14665.801412112058
36,06011,2020-08-22,13384.90430338392
37,06011,2020-08-29,13848.622616818755
38,06011,2020-09-05,13507.084334889174
39,06011,2020-09-12,14282.583195549636
40,06011,2020-09-19,13318.657289094086
41,06011,2020-09-26,14308.467968397452
42,06011,2020-10-03,14095.986059951489
43,06011,2020-10-10,14376.759546490654
44,06011,2020-10-17,14342.771578564616
45,06011,2020-10-24,14457.811914709604
46,06011,2020-10-31,14207.197078160732
47,06011,2020-11-08,13240.217886442148
1,06013,2019-12-21,12508.058046923701
2,06013,2019-12-28,13300.841689981193
